endpoint,task_type,seed,outer_fold,inner_fold,split_regime,outer_split_type,inner_split_type,train_n,validation_n,test_n,train_scaffold_n,validation_scaffold_n,test_scaffold_n,group_definition,train_group_n,validation_group_n,test_group_n,target_mean,target_sd,target_range,train_target_mean,train_target_sd,train_target_min,train_target_max,train_target_range,validation_target_mean,validation_target_sd,validation_target_min,validation_target_max,validation_target_range,test_target_mean,test_target_sd,test_target_min,test_target_max,test_target_range,outer_split_hash,split_hash,no_scaffold_overlap,no_group_overlap,max_train_validation_tanimoto,max_train_test_tanimoto,max_validation_test_tanimoto
esol,regression,23,1,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,177,177,230,Bemis-Murcko scaffold,177,177,230,-3.172981382978724,2.4715049163723064,12.94,-3.0595904572564616,1.80656880298226,-9.332,1.144,10.476,-2.845381526104417,2.016146258810457,-9.018,1.58,10.598,-3.172981382978724,2.4715049163723064,-11.6,1.34,12.94,aae83ad32e57729663c66ee7043ab844bfa1f9bd17e2976e795e176915f21922,d502a1a2149a7b48cdcff429d222d597ab4eeda8abd253decce8cc4653760f65,True,True,,,
esol,regression,23,1,2,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,498,254,376,353,1,230,Bemis-Murcko scaffold,353,1,230,-3.172981382978724,2.4715049163723064,12.94,-3.057277108433735,2.062475394284803,-9.332,1.58,10.912,-2.854133858267717,1.451473893745451,-6.98,0.81,7.790000000000001,-3.172981382978724,2.4715049163723064,-11.6,1.34,12.94,aae83ad32e57729663c66ee7043ab844bfa1f9bd17e2976e795e176915f21922,42e60e66f423c5f73e50a12bdf2feb5d3f49917618e4d4daf8503a75ba52e67b,True,True,,,
esol,regression,23,1,3,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,178,176,230,Bemis-Murcko scaffold,178,176,230,-3.172981382978724,2.4715049163723064,12.94,-2.8498011928429423,1.7521221169165735,-9.018,1.58,10.598,-3.2691726907630523,2.0903958083052667,-9.332,1.144,10.476,-3.172981382978724,2.4715049163723064,-11.6,1.34,12.94,aae83ad32e57729663c66ee7043ab844bfa1f9bd17e2976e795e176915f21922,01b4619ca73228795d21ccf45369ad0bd469385088c36bbd589e46c4b063567d,True,True,,,
esol,regression,23,2,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,501,251,376,306,155,123,Bemis-Murcko scaffold,306,155,123,-2.874303191489362,1.7681425473727472,10.912,-3.20934131736527,2.347344700138746,-11.6,1.57,13.17,-2.9956055776892434,2.0007826128314803,-8.804,1.34,10.144,-2.874303191489362,1.7681425473727472,-9.332,1.58,10.912,33ce69a9655ddf82794c6e82440ea5ac91c48fcbdfa3106549977313616292cf,c7c5a50d511a4ca29c054f6fe1c626f134a7ec6dfb7903151d325df0e26b420c,True,True,,,
esol,regression,23,2,2,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,502,250,376,309,152,123,Bemis-Murcko scaffold,309,152,123,-2.874303191489362,1.7681425473727472,10.912,-2.934874501992032,2.02123857953396,-8.804,1.34,10.144,-3.54588,2.577585968167342,-11.6,1.57,13.17,-2.874303191489362,1.7681425473727472,-9.332,1.58,10.912,33ce69a9655ddf82794c6e82440ea5ac91c48fcbdfa3106549977313616292cf,f21869650baa2cc27f37fa5e6cbdb17087e22266f60a6757408e36c0d636027b,True,True,,,
esol,regression,23,2,3,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,501,251,376,307,154,123,Bemis-Murcko scaffold,307,154,123,-2.874303191489362,1.7681425473727472,10.912,-3.2701936127744515,2.32079812315486,-11.6,1.57,13.17,-2.874143426294821,2.0436769107044817,-8.699,1.12,9.819,-2.874303191489362,1.7681425473727472,-9.332,1.58,10.912,33ce69a9655ddf82794c6e82440ea5ac91c48fcbdfa3106549977313616292cf,bc9e1776a77bedc94aae2dc068d22046eb6498ea257837effb775d9896bf8eb5,True,True,,,
esol,regression,23,3,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,178,175,231,Bemis-Murcko scaffold,178,175,231,-3.103021276595745,1.9811708187027768,10.17,-2.970870775347912,1.904286320812671,-9.332,1.58,10.912,-3.130244979919679,2.5833947190509354,-11.6,1.12,12.72,-3.103021276595745,1.9811708187027768,-8.6,1.57,10.17,ffe8b19a1dde8b83241185334142474037cdd26aa73d364f33f88c2bb0dbcb95,0c86a6bc7dbee5830efccaf68b7cb998a7b2b3eab1fa71129f25a98412e50c8b,True,True,,,
esol,regression,23,3,2,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,503,249,376,176,177,231,Bemis-Murcko scaffold,176,177,231,-3.103021276595745,1.9811708187027768,10.17,-2.990817097415507,2.0923568732902864,-11.6,1.12,12.72,-3.0899518072289163,2.2722014721248107,-9.332,1.58,10.912,-3.103021276595745,1.9811708187027768,-8.6,1.57,10.17,ffe8b19a1dde8b83241185334142474037cdd26aa73d364f33f88c2bb0dbcb95,1d2de5d3f10393e3a6335c9946bc6b361654aa1d5e113b20b9a9a41202850fdf,True,True,,,
esol,regression,23,3,3,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,498,254,376,352,1,231,Bemis-Murcko scaffold,352,1,231,-3.103021276595745,1.9811708187027768,10.17,-3.1100983935742974,2.430414023641923,-11.6,1.58,13.18,-2.854133858267717,1.451473893745451,-6.98,0.81,7.790000000000001,-3.103021276595745,1.9811708187027768,-8.6,1.57,10.17,ffe8b19a1dde8b83241185334142474037cdd26aa73d364f33f88c2bb0dbcb95,34c2889110693d3462b5a49d6b1aa191fcb3825feed6f3a6ecdc78d92fe9a3e8,True,True,,,
freesolv,regression,23,1,1,scaffold,seeded_scaffold_group_balanced,seeded_scaffold_group_balanced,290,138,214,111,111,160,Bemis-Murcko scaffold,111,111,160,-3.1996261682242992,3.3812427710081847,21.49,-4.004827586206897,3.2257374583343608,-16.43,3.16,19.59,-4.314565217391305,5.350685626244372,-25.47,2.97,28.44,-3.1996261682242992,3.3812427710081847,-18.06,3.43,21.49,f81134863b94973ae2648888ed92808b19fe9f042505eb154fbc5f9bb24f377f,3807cd8f6c8f5b56fa96101b56c25a23c04b4336f7a0c81108cb859e0beb75b2,True,True,,,
